,end_effector_x,end_effector_y,link_01_rotation,link_02_rotation,link_03_rotation
0,-3.0,-3.0,224.75584771630605,180.5884499320223,179.52803542245599
1,-3.0,-2.9,223.79145232625694,180.57396576883534,179.5392116930114
2,-3.0,-2.8,222.79378025457152,180.56029615906775,179.54978002336983
3,-3.0,-2.7,221.74034651850212,180.5986820890075,179.519442724315
4,-3.0,-2.6,220.67426327208983,180.58379318375137,179.53095714259518
5,-3.0,-2.5,219.57213028723825,180.5689658035586,179.54244760185242
6,-3.0,-2.4,218.4330869601119,180.55395406161912,179.55411391180033
7,-3.0,-2.3,217.2349078551516,180.59012855773253,179.52550478400767
8,-3.0,-2.2,216.02002210748142,180.5732980644831,179.5385935608915
9,-3.0,-2.1,214.7656305456519,180.55642840436767,179.5517505863062
10,-3.0,-2.0,213.4491389038886,180.59269510803486,179.52309020541435
11,-3.0,-1.9,212.11357737396267,180.57664501725895,179.535588170935
12,-3.0,-1.8,210.73710301090833,180.5601032062237,179.54852326856255
13,-3.0,-1.7,209.29832366224514,180.5945274130014,179.52142182498787
14,-3.0,-1.6,207.84029684050086,180.57522599209804,179.536558111158
15,-3.0,-1.5,206.3411932610881,180.55568898302917,179.55191280329902
16,-3.0,-1.4,204.78053601687523,180.58698651063176,179.5272960011175
17,-3.0,-1.3,203.2005766580679,180.56757580670165,179.54255517733182
18,-3.0,-1.2,201.58131639077627,180.5486125868839,179.55748637106387
19,-3.0,-1.1,199.90358970418936,180.5801713158614,179.53274670551858
20,-3.0,-1.0,198.21110980899522,180.55901032259564,179.5494111397938
21,-3.0,-0.9,196.46340100417237,180.58898097923026,179.52601192555352
22,-3.0,-0.8,194.70511906651433,180.5660603051187,179.54404421193175
23,-3.0,-0.7,192.89502331381257,180.59760030443684,179.5195503531553
24,-3.0,-0.6,191.08103435328388,180.5731358474903,179.5388403014753
25,-3.0,-0.5,189.24371346655047,180.5480550726929,179.55864672949042
26,-3.0,-0.4,187.36584857690383,180.5732169559867,179.53923559867349
27,-3.0,-0.3,185.4708808935755,180.59997694346373,179.51875879826352
28,-3.0,-0.2,183.58486075805988,180.57420034314464,179.53905801375507
29,-3.0,-0.1,181.66896537511462,180.60085158120347,179.51879961931596
30,-3.0,0.0,179.7715625019761,180.57189168584432,179.5415476710684
31,-3.0,0.1,177.85210176028409,180.59665811185735,179.5228840190788
32,-3.0,0.2,175.9591011714367,180.56705580519025,179.54617464398342
33,-3.0,0.3,174.05361499678656,180.58825740606505,179.53043762133143
34,-3.0,0.4,172.1832223340919,180.55436558051662,179.55696727668695
35,-3.0,0.5,170.30578091617383,180.5772743017971,179.54000057986053
36,-3.0,0.6,168.4484612355506,180.59977155754095,179.5235546582779
37,-3.0,0.7,166.63831084133548,180.5651842799968,179.55046394942133
38,-3.0,0.8,164.83279131537765,180.58359937713365,179.53728211121003
39,-3.0,0.9,163.05791201803646,180.59921313621544,179.52636709539038
40,-3.0,1.0,161.3358710641145,180.5653336903849,179.55259587557686
41,-3.0,1.1,159.62414369583928,180.58873509242014,179.53585967095452
42,-3.0,1.2,157.95416244377117,180.59873331542627,179.52944078723857
43,-3.0,1.3,156.34048927122063,180.56508945776122,179.55536730487387
44,-3.0,1.4,154.74438334521537,180.5821777906518,179.54367708926387
45,-3.0,1.5,153.18350753494903,180.61031795658883,179.52401916450233
46,-3.0,1.6,151.69220403156845,180.57092275947753,179.5540421681336
47,-3.0,1.7,150.22083102018595,180.5809226366701,179.54797850761537
48,-3.0,1.8,148.77921031282804,180.61756014490402,179.52263770538184
49,-3.0,1.9,147.40688870478908,180.58944377790738,179.54412617420178
50,-3.0,2.0,146.05836347581845,180.60050927133216,179.53795317729598
51,-3.0,2.1,144.76237606194354,180.58506194475055,179.55002591017995
52,-3.0,2.2,143.4829586869951,180.62257206301177,179.52501807966843
53,-3.0,2.3,142.25371588168957,180.63483641471848,179.51901925258647
54,-3.0,2.4,141.07598636310428,180.61949655689457,179.53095885014247
55,-3.0,2.5,139.93571360192732,180.60512845356266,179.5421982999477
56,-3.0,2.6,138.810330653141,180.63864958126604,179.52150554816606
57,-3.0,2.7,137.74595495402124,180.61751740286084,179.53764069614144
58,-3.0,2.8,136.71301178546187,180.60447275540233,179.54792391946287
59,-3.0,2.9,135.68905714585023,180.64474589862627,179.52326602942463
60,-2.9,-3.0,225.73947691905792,180.55995464960924,179.54995760828825
61,-2.9,-2.9,224.7528970745846,180.59832179652878,179.51957932809842
62,-2.9,-2.8,223.75476055003563,180.58302137237516,179.53140969598854
63,-2.9,-2.7,222.7214485512611,180.56747842314513,179.54346700758603
64,-2.9,-2.6,221.6513354932385,180.55282190440334,179.5548498646834
65,-2.9,-2.5,220.5219227328419,180.590470067191,179.52501295702658
66,-2.9,-2.4,219.37583065049208,180.57526526568577,179.53681936589376
67,-2.9,-2.3,218.18997320679446,180.5600605175414,179.54866152653238
68,-2.9,-2.2,216.94186541900135,180.5969471142366,179.51945467714606
69,-2.9,-2.1,215.6743189128304,180.5801149134399,179.53255369931367
70,-2.9,-2.0,214.36430229040027,180.56320427218944,179.54576376541615
71,-2.9,-1.9,212.98964475766516,180.59848572106884,179.51786831235046
72,-2.9,-1.8,211.5933901667745,180.57993903606877,179.53238982813446
73,-2.9,-1.7,210.15216561038844,180.56354407410066,179.5452463785865
74,-2.9,-1.6,208.66659946591065,180.54735748626308,179.55796456434706
75,-2.9,-1.5,207.1167065998297,180.58055204554677,179.53173578416056
76,-2.9,-1.4,205.54446535478448,180.5610031370077,179.54714522453665
77,-2.9,-1.3,203.90799301078445,180.59297002314895,179.52198536895526
78,-2.9,-1.2,202.2513169672195,180.57058125001902,179.53960277470225
79,-2.9,-1.1,200.5528401659341,180.549857442221,179.55595814291752
80,-2.9,-1.0,198.79364298292728,180.58145373723892,179.53114838789193
81,-2.9,-0.9,197.01844949688427,180.56000758357533,179.54806046988543
82,-2.9,-0.8,195.1872621200255,180.58985529680487,179.52475506402453
83,-2.9,-0.7,185.12676230281193,193.95177982322764,177.40665828064255
84,-2.9,-0.6,178.6386800054811,199.55798884869034,179.95118292378453
85,-2.9,-0.5,173.91082306199826,202.70526830124592,182.0537877242211
86,-2.9,-0.4,170.03954014232673,204.73742887179043,183.75947656493983
87,-2.9,-0.3,166.74021726375207,206.07133920348454,185.1040394304182
88,-2.9,-0.2,163.88390045474443,206.89199838509262,186.11837759056527
89,-2.9,-0.1,161.41977310787894,207.2777538090366,186.81270687394527
90,-2.9,0.0,159.29688201194728,207.28670306439662,187.23593314256277
91,-2.9,0.1,157.52932467739637,206.9361640958132,187.32591490846218
92,-2.9,0.2,156.1140275190997,206.22640840330592,187.1033736849248
93,-2.9,0.3,155.0881740868988,205.10063101109503,186.58375935985327
94,-2.9,0.4,154.5017750258965,203.52548181301069,185.69471120163314
95,-2.9,0.5,154.49472627067306,201.34942452457963,184.3320884622156
96,-2.9,0.6,155.33453901026115,198.2319468949201,182.38368116537768
97,-2.9,0.7,157.86237836170451,193.06960795795442,179.53844244295612
